SIZE_PROBLEM;N_STEPS;;IDS_time;IDS_nodes;BFS_time;BFS_nodes;BFS_BI_time;BFS_BI_nodes;A_time;A_nodes;A Optimized_time;A Optimized_nodes
9;5;;4;44;3;91;1;23;2;15;0;14
9;5;;2;36;4;101;1;28;1;12;0;12
9;5;;5;54;2;66;0;16;0;9;1;9
9;5;;3;42;3;93;2;23;0;11;1;17
9;5;;4;54;3;66;0;16;2;9;0;9
9;5;;5;48;3;87;0;23;1;9;0;12
9;5;;3;54;2;75;0;18;1;11;1;14
9;5;;7;56;4;65;0;16;0;11;0;11
9;5;;4;42;3;84;0;20;1;13;1;14
9;5;;2;44;3;91;0;23;4;15;1;14
9;5;;3;42;3;93;3;23;1;12;0;12
9;5;;2;42;2;93;0;23;2;11;1;17
9;5;;2;42;2;84;0;20;1;13;3;14
9;5;;3;54;1;66;0;16;1;9;0;9
9;5;;5;36;6;101;3;28;1;12;1;12
9;5;;3;48;2;75;0;18;4;12;0;11
9;5;;5;48;6;87;1;23;1;9;1;12
9;5;;2;36;5;101;2;28;2;18;0;11
9;5;;2;48;4;87;0;23;1;9;0;12
9;5;;4;54;2;66;1;16;1;9;0;9
9;5;;4;48;2;87;0;23;2;9;1;12
9;5;;3;48;4;87;0;23;1;9;0;12
9;5;;8;56;4;65;1;16;1;11;1;11
9;5;;4;34;4;103;1;28;2;12;0;15
9;5;;9;56;4;65;0;16;1;11;1;11
9;5;;8;60;4;61;0;16;2;12;1;12
9;5;;5;42;5;93;1;23;2;11;1;17
9;5;;2;48;2;87;1;23;0;9;0;12
9;5;;5;54;2;66;0;16;0;9;0;9
9;5;;1;36;4;101;0;28;1;12;0;12
9;5;;4;48;3;75;0;18;2;12;0;11
9;5;;2;34;3;103;1;28;2;12;1;15
9;5;;5;48;3;75;0;18;1;12;0;11
9;5;;5;48;5;87;2;23;1;9;1;12
9;5;;4;56;1;65;1;16;1;11;0;11
9;5;;4;54;2;75;0;18;1;13;0;14
